ES,CZ,Order
derrocar / derrocar el Gobierno,svrhnout,10071
derrocar / derrocar el Gobierno,shodit,10072
derrocar / derrocar el Gobierno,zbořit / svrhnout vládu,10073
tramar,tkát,10074
tramar,osnovat,10075
tramar,spřádat,10076
la revancha / la represalia,odveta,10077
la nave, la nao, el bajel,koráb,10078
alistar,zapsat se do seznamu,10079
alistar,zaevidovat,10080
alistar,naverbovat,10081
el virrey,místokrál,10082
bramar / el bramido,bučet,10083
bramar / el bramido,řvát,10084
bramar / el bramido,hulákat / řev,10085
bramar / el bramido,bučení,10086
bramar / el bramido,troubení,10087
el filo,ostří,10088
estremecer / estremecimiento,rozechvět,10089
estremecer / estremecimiento,otřást / otřes,10090
estremecer / estremecimiento,záchvěv,10091
estremecer / estremecimiento,třes,10092
fétido,smrdutý,10093
fétido,páchnoucí,10094
la ráfaga,poryv větru,10095
la mueca,škleb,10096
la mueca,úšklebek,10097
la mueca,grimasa,10098
tintinear / el tintineo,cinkat,10099
tintinear / el tintineo,cinkání,10100
el estoque,kord,10101
el carcaj,toulec,10102
la factura,faktura,10103
la factura,účet,10104
la factura,provedení (nějakého výtvoru),10105
marcar,označit,10106
marcar,označkovat,10107
marcar,poznamenat koho,10108
enmarcar,zarámovat,10109
el marco,rám,10110
el marco,rámec,10111
saborear,vychutnat si,10112
saborear,pochutnat si,10113
saborear,těšit se,10114
sanguinolento, ensangrentado,zkrvavený,10115
mortífero,smrtící,10116
mortífero,smrtonosný,10117
abalanzarse sobre algn,vrhnout se na někoho,10118
precipitar,spěchat,10119
precipitar,pospíchat,10120
precipitar,urychlit,10121
el estrépito,rachot,10122
el estrépito,lomoz,10123
el chillido,jekot,10124
el chillido,vřískot,10125
desprecio,opovržení,10126
desprecio,pohrdání,10127
embelesar,uchvátit,10128
embelesar,nadchnout,10129
embelesar,strhnout,10130
rrodillar / arrodillarse,srazit na kolena / pokleknout,10131
intenso,intenzivní,10132
intenso,silný,10133
intenso,pronikavý,10134
el mango / la empuñadura,mango,10135
el mango / la empuñadura,držadlo,10136
el mango / la empuñadura,rukověť,10137
el mango / la empuñadura,střenka,10138
escarpado,členitý,10139
escarpado,příkrý,10140
escarpado,krkolomný,10141
escarpado,nepřístupný,10142
cañada,úžlabina,10143
cañada,stezka,10144
el bulto,boule,10145
el bulto,bulka,10146
el bulto,siluleta,10147
el bulto,obrys,10148
soltar,rozvázat,10149
soltar,povolit,10150
soltar,osvobodit,10151
soltar,vyhrknout,10152
humear,kouřit,10153
humear,dýmat,10154
humear,doutnat,10155
calcinado / chamuscado,sežehnutý,10156
calcinado / chamuscado,spálený,10157
la gema,drahokam,10158
la gema,poupě,10159
aterrorizado,vyděšený,10160
aterrorizado,vylekaný,10161
aterrador / aterrado,hrozný,10162
aterrador / aterrado,děsivý,10163
aterrador / aterrado,hrůzostrašný / vyděšený,10164
perturbado /perturbador,narušený / rušivý,10165
perturbado /perturbador,vyvádějící z míry,10166
perturbado /perturbador,rušička,10167
arrebujar,zmačkat,10168
arrebujar,zmuchlat,10169
arrebujar,zachumlat se,10170
el charco,kaluž,10171
la legua,mořská míle (5572,10172
la legua,7m),10173
el matorral,křoví,10174
el matorral,houští,10175
la pizarra,břidlice,10176
la viga / de viga en viga,trám / z trámu na trám,10177
crepitar,praskat (hořící dřevo),10178
la rendija,škvíra,10179
la rendija,štěrbina,10180
el delantal,zástěra,10181
la tez,pleť,10182
la viruela,pravé nešťovice,10183
víveres,potraviny,10184
víveres,potrava,10185
depositar,položit,10186
depositar,uložit,10187
depositar,vložit,10188
apartar,oddělit,10189
apartar,separovat,10190
apartar,odsunout,10191
el recelo,podezření,10192
el recelo,nedůvěra,10193
el recelo,obava,10194
entornar,přivřít,10195
entornar,přihmouřit,10196
entrecerrar / entrecerrar los ojos,přivřít,10197
entrecerrar / entrecerrar los ojos,přihmouřit / přimhouřit oči,10198
la reverencia,poklona,10199
la reverencia,úklona,10200
la reverencia,úcta,10201
la reverencia,respekt,10202
el gancho / enganchar,hák,10203
el gancho / enganchar,háček / zaháknout,10204
el gancho / enganchar,zavěsit,10205
el gancho / enganchar,chytnout,10206
frotar,mnout si oči,10207
frotar,třít si záda,10208
el cabo,konec,10209
el cabo,zbytek,10210
el cabo,na závěr,10211
el cabo,na konec,10212
el colinabo,kedluben,10213
el nabo,bílá ředkev,10214
el nabo,tuřín,10215
la remolacha,řepa,10216
el cúmulo,hromada,10217
el cúmulo,kupa,10218
el cúmulo,halda,10219
la ansiedad,touha,10220
la ansiedad,neklid,10221
la ansiedad,úzkost,10222
arremolinar,zvířit,10223
arremolinar,rozvířit,10224
arremolinar,shlukovat se,10225
la muchedumbre,dav,10226
la muchedumbre,zástup,10227
la muchedumbre,houf,10228
el aire,vzduch,10229
el aire,vánek,10230
el aire,vzhled,10231
el aire,vzezření,10232
el equipamiento,výbava,10233
el equipamiento,vybavení,10234
imputar,připsat,10235
imputar,přičíst,10236
el vencimiento,vítězství,10237
el vencimiento,porážka,10238
el vencimiento,vypršení lhůty (due date),10239
el inconveniente,nevhodný,10240
el inconveniente,nesnáz,10241
el inconveniente,obtíž,10242
enfilar,dát se,10243
enfilar,zamířit,10244
enfilar,směřovat,10245
la exclamación,výkřik,10246
la exclamación,zvolání,10247
aleccionar,poučit,10248
aleccionar,vycvičit,10249
aleccionar,instruovat,10250
aleccionar,dát lekci,10251
el jarabe para la tos,sirup proti kašli,10252
la tos / toser,kašel / kašlat,10253
la soberbia / la altivez,domýšlivost,10254
la soberbia / la altivez,nadutost,10255
incesante,neustálý,10256
incesante,ustavičný,10257
incesante,nepřetržitý,10258
incesante,soustavný,10259
integro,celý,10260
integro,úplný,10261
integro,celistvý,10262
resguardar,chránit,10263
resguardar,bránit,10264
resguardar,ochraňovat,10265
mentir (mintiendo, mintí),lhát,10266
mentir (mintiendo, mintí),zalhat,10267
arremeter,napanout i slovně,10268
el recaudador,výběrčí daní,10269
implacable,neúprosný,10270
implacable,nesmiřitelný,10271
implacable,krutý,10272
la misericordia,milosrdenství,10273
la misericordia,slitování,10274
andar de puntillas / ponerse de puntillas,chodit po špičkách,10275
andar de puntillas / ponerse de puntillas,postavit se na špičky,10276
el trote, al trote / trotar,klus,10277
el trote, al trote / trotar,klusem / jet klusem,10278
vago,vágní,10279
vago,mlhavý,10280
vago,neurčitý,10281
vago,líný,10282
vago,toulavý,10283
mascullar,žmoulat,10284
mascullar,procedit skrz zuby,10285
mascullar,zamumlat,10286
encorvado,shrbený,10287
encorvado,sehnutý,10288
pervivir,přežívat,10289
el tatarabuelo,prapradědeček,10290
inigualable,nesrovnatelný,10291
inigualable,nemající srovnání,10292
vigoroso,silný,10293
vigoroso,energický,10294
trastocar,narušit,10295
trastocar,pozměnit,10296
trastocar,pomást,10297
trastocar,připravit o rozum,10298
cavilar,hloubat,10299
cavilar,přemítat,10300
cavilar,dumat,10301
compadecer,mít soucit,10302
compadecer,soucítit,10303
enardecer,roznítit,10304
enardecer,rozvášnit,10305
enardecer,rozdmýchat,10306
la fechoría,lumpárna,10307
la fechoría,zlý čin,10308
acosar / acoso sexual, laboral, escolar,štvát,10309
acosar / acoso sexual, laboral, escolar,pronásledovat,10310
acosar / acoso sexual, laboral, escolar,stíhat / obtěžování,10311
acosar / acoso sexual, laboral, escolar,šikana,10312
topar,trkat,10313
topar,drcnout,10314
topar,narazit na koho,10315
demente,pomatený,10316
demente,choromyslný,10317
la entrepierna,rozkrok,10318
sutil,tenký,10319
sutil,jemný,10320
sutil,nepatrný,10321
lastimero,plačtivý,10322
lastimero,naříkavý,10323
el cincel,majzlík,10324
el cincel,sekáček,10325
a tientas,pohmatu,10326
a tientas,poslepu,10327
retumbar,zaburácet,10328
retumbar,zadunět,10329
retumbar,zaznít,10330
retumbar,rozléhat se,10331
resquebrajarse / cuartearse,popraskat,10332
resquebrajarse / cuartearse,rozpraskat / popraskat,10333
anguloso,hranatý,10334
genérico,obecný,10335
genérico,rodový,10336
genérico,běžný,10337
adecuar,přizpůsobit,10338
adecuar,upravit,10339
adecuar,odpovídat čemu,10340
la espina / el espinazo,páteř,10341
arrastrar (reptar = plazit se) / arrastrar a,táhnout,10342
arrastrar (reptar = plazit se) / arrastrar a,vléci,10343
arrastrar (reptar = plazit se) / arrastrar a,přitahovat,10344
arrastrar (reptar = plazit se) / arrastrar a,plazit se / trpět čím,10345
arrastrarse a los pies de algn,plazit se před kým,10346
reptar,plazit se,10347
picotear,zobat,10348
picotear,klovat,10349
picotear,uždibovat,10350
la descarga,složení,10351
la descarga,vyložení,10352
la descarga,stažení z internetu,10353
la descarga,výboj el.,10354
el alarido,výkřik,10355
cosquillear / cosquilleo,lehtat,10356
cosquillear / cosquilleo,šimrat / šimrání,10357
cosquillear / cosquilleo,lechtání,10358
cosquillear / cosquilleo,mravenčení,10359
escocer,štípat,10360
escocer,pálit,10361
escocer,svědit,10362
rozar,dotýkat se,10363
rozar,otřít se,10364
rozar,sahat,10365
acurrucarse,schoulit se,10366
acurrucarse,skrčit se,10367
aterciopelado,sametový,10368
aterciopelado,hebký,10369
deshacer,rozložit,10370
deshacer,zrušit,10371
deshacer,zbavit se čeho,10372
centinela / estar de/hacer centinela,stráž,10373
centinela / estar de/hacer centinela,hlídka / být na hlídce,10374
centinela / estar de/hacer centinela,hlídkovat,10375
la tira,pruh,10376
la tira,proužek,10377
taponar,ucpat,10378
taponar,zacpat,10379
encarnar,ztělesňovat,10380
encarnar,představovat,10381
encarnar,být symbolem,10382
el inventario / hacer inventario,inventura,10383
el inventario / hacer inventario,inventář,10384
el inventario / hacer inventario,soupis / dělat inventuru,10385
conseguir / ser fácil de conseguir,dosáhnout,10386
conseguir / ser fácil de conseguir,dostat,10387
conseguir / ser fácil de conseguir,získat / být snadno k dostání,10388
la consecución,získání,10389
la consecución,dosažení,10390
el lineamiento,směrnice,10391
el lineamiento,narýsování,10392
derivar,mít,10393
derivar,původ,10394
derivar,pocházet,10395
derivar,odvodit,10396
derivar,vést k,10397
la distorsión / derivar en distorsión,zkreslení,10398
la distorsión / derivar en distorsión,překroucení / vést ke zkreslení,10399
la timidez / timido,nesmělost,10400
la timidez / timido,stydlivost / stydlivý,10401
la timidez / timido,bázlivý,10402
percibir,pobírat,10403
percibir,dostávat,10404
percibir,vnímat smysly,10405
oprimir,utiskovat,10406
oprimir,utlačovat,10407
oprimir,tisknout,10408
la aprensión,obava,10409
la aprensión,úzkost,10410
la aprensión,strach,10411
despiadado,nemilosrdný,10412
despiadado,nelítostný,10413
despiadado,nelidský,10414
quieto / tener la conciencia tranquila,klidný / mít klidné svědomí,10415
el tacto / intacto,hmat / nedotčený,10416
mudo,němý,10417
mudo,oněmnělý,10418
mudo,mlčící,10419
rugir, rugido,řvát,10420
rugir, rugido,řev,10421
planear,naplánovat,10422
planear,promyslet,10423
planear,plachtit,10424
planear,klouzat,10425
plantear,nastínit,10426
plantear,vyložit,10427
plantear,vyslovit,10428
plantear,navrhnout,10429
el tendón,šlacha,10430
el tocón,pařez,10431
el vestigio,pozůstatek,10432
el vestigio,stopa,10433
amortiguado,tlumený,10434
pum,bum,10435
resoplar,funět,10436
resoplar,supět,10437
resoplar,frkat,10438
la serenidad,klid,10439
la serenidad,pokoj,10440
irradiar,vyzařovat,10441
irradiar,šířit světlo,10442
insondable,bezedný,10443
insondable,nevyzpytatelný,10444
la capucha,kapuce,10445
inquisitivo,pátravý,10446
inquisitivo,zkoumavý,10447
inquisitivo,zvídavý,10448
la repisa,polička,10449
la repisa,krbová římsa,10450
labrar,opracovat,10451
labrar,obrábět,10452
el escritorio,psací stůl,10453
el frasco,lahvička,10454
el frasco,flakon,10455
quebradizo,lámavý,10456
quebradizo,křehký,10457
la tetera,čajová konvice,10458
la pipa,dýmka,10459
la pipa,fajfka,10460
la pipa,bouchačka,10461
la herencia, heredar, desheredar,dědictví,10462
la herencia, heredar, desheredar,(z)dědit,10463
la herencia, heredar, desheredar,vydědit,10464
congeniar,shodovat se,10465
congeniar,sympatizovat,10466
congeniar,být duševně spřízněn,10467
la golfería / la travesura,vylomenina / lumpárna,10468
reñir / provocar una riña,kárat,10469
reñir / provocar una riña,hubovat,10470
reñir / provocar una riña,hádat se / rozpoutat hádku,10471
provocar,provokovat,10472
provocar,vyvolat,10473
provocar,způsobit,10474
demorar,posunout,10475
demorar,oddálit,10476
demorar,pozdržet,10477
diferir,odložit,10478
diferir,odsunout,10479
diferir,odročit,10480
diferir,lišit se,10481
diferir,různit se,10482
diferir,odlišovat se,10483
relegar,odložit,10484
relegar,odsunout,10485
relegar,odstrčit,10486
azuzar,štvát,10487
azuzar,poštvat,10488
azuzar,poňoukat,10489
restregar,třít,10490
restregar,otírat,10491
restregar,drhnout,10492
esmerar / el esmero,snažit se,10493
esmerar / el esmero,dělat pečlivě / pečlivost,10494
esmerar / el esmero,svědomitost,10495
la cometa,papírový drak,10496
atender, 1.atiendo,obsloužit,10497
atender, 1.atiendo,obsluhovat,10498
atender, 1.atiendo,postarat se,10499
atender, 1.atiendo,vyhovět,10500
atender al herido / atender a ruego,ošetřit raněného / vyhovět žádosti,10501
desatender,zanedbávat,10502
desatender,ignorovat,10503
desatender,nevšímat si,10504
sin querer, no a propósito,neúmyslně,10505
el propósito,úmysl,10506
el propósito,předsevzetí,10507
el propósito,záměr,10508
el propósito,cíl,10509
buscapleitos,kverulant,10510
buscapleitos,hašteřivec,10511
arrancar / arrancar de cuajo, desarraigar,vytrhnout,10512
arrancar / arrancar de cuajo, desarraigar,vytáhnout,10513
arrancar / arrancar de cuajo, desarraigar,vyrvat / vyrvat z kořenů,10514
el arranque,nastartování,10515
el arranque,rozběhnutí,10516
el arranque,odhodlání,10517
el arranque,nával,10518
anudar / reanudar,zavázat / znovuobnovit,10519
anudar / reanudar,zahájit,10520
anudar / reanudar,navázat,10521
la inflexión / punto de inflexión,ohýbání,10522
la inflexión / punto de inflexión,zakřivení / inflexní bod,10523
enunciar / enunciado,vyjádřit,10524
enunciar / enunciado,vyslovit,10525
enunciar / enunciado,formulovat / vyjádření,10526
enunciar / enunciado,sdělení,10527
fuerza motriz,hybná síla,10528
el tratado,traktát,10529
el tratado,pojednání,10530
el tratado,ujednání,10531
el tratado,smlouva,10532
pisotear,pošlapat,10533
pisotear,rozšlapat,10534
apisonar,válcovat,10535
apisonar,udusat,10536
cascarrabias,vztekloun,10537
cascarrabias,pruďas,10538
la calada / calarse,potažení z cigarety,10539
la calada / calarse,fajfky / prosáknout,10540
la calada / calarse,proniknout,10541
agraciado,půvabný,10542
agraciado,pohlený,10543
agraciado,roztomilý,10544
agraciado,šťastný,10545
ultrajar,urazit,10546
ultrajar,hanobit,10547
ultrajar,ranit,10548
el malentendido,nedorozumění,10549
el sorbo / dar sorbo,hlt,10550
el sorbo / dar sorbo,doušek srkání / usrknout,10551
la garrapata,klíště,10552
dulcificar,osladit,10553
dulcificar,zmírnit,10554
dulcificar,zklidnit,10555
la ascua / estar sobre (en) ascuas,řeřavý uhlík / být jako na trní,10556
objetar,namítnout,10557
objetar,namítat,10558
deslumbrante,oslňující,10559
deslumbrante,oslepující,10560
eludir / elusivo,vyhnout se,10561
eludir / elusivo,vyvarovat se,10562
eludir / elusivo,obejít / vyhýbavý,10563
eludir / elusivo,nepolapitelný,10564
evitar,vyhnout se,10565
evitar,vyhýbat se,10566
evitar,vyvarovat se,10567
esquivar,vyhnout se,10568
esquivar,uhnout,10569
ronronear,vrnět,10570
ronronear,příst,10571
ronronear,broukat si,10572
distraer (se),rozptýlit se,10573
distraer (se),zabavit se,10574
distraído,roztržitý,10575
distraído,roztěkaný,10576
distraído,nepozorný,10577
palpar,osahat,10578
palpar,prohmatat,10579
palpar,šátrat,10580
palpar,být cítit ve vzduchu,10581
estirar la pata,natáhnout bačkory,10582
estirar,natáhnout,10583
estirar,protáhnout,10584
estirar,napnout,10585
estirar,narovnat,10586
estirar,uhladit,10587
estirón / dar (pegar) un estirón,trhnutí,10588
estirón / dar (pegar) un estirón,škubnutí / vytáhnout se,10589
estirón / dar (pegar) un estirón,rychle vyrůst,10590
la mesilla,noční stolek,10591
forastero,přespolní,10592
forastero,cizí,10593
forastero,cizinec,10594
ojeroso,s kruhy pod očima,10595
severidad,přísnost,10596
severidad,tvrdost,10597
aferrar,popadnout,10598
aferrar,pevně uchopit,10599
aferrar,pevně držet,10600
aferrase a algo,upnout se na co,10601
matutino,ranní,10602
matutino,dopolední,10603
el fuelle,kovářský měch,10604
el fuelle,též u varhan,10605
la fragua,výheň,10606
la fragua,kvářská pec,10607
tenazas / alicates,kleště / kombinačky,10608
la herrería / la forja,kovárna,10609
palpitar,bušit,10610
palpitar,tlouct srdce,10611
indeciso,nerozhodný,10612
indeciso,váhavý,10613
evidenciar,dokazovat,10614
evidenciar,potvrzovat,10615
evidenciar,dokládat,10616
marear,způsobit nevolnost,10617
marear,závratě,10618
sagaz,chytrý,10619
sagaz,vychytralý,10620
sagaz,bystrý,10621
bullir,rojit se,10622
bullir,honit se,10623
bullir,vířit,10624
bullir,vřít,10625
de modo que,tak,10626
encabritarse,vzepnout se,10627
encabritarse,vzpínat se,10628
atronador, ensordecedor / ensordecedoramente,ohlušující,10629
atronador, ensordecedor / ensordecedoramente,ohlušujícím způsobem,10630
pestañear (parpadear),mrkat,10631
pestañear (parpadear),mžikat,10632
la pestaña,řasa,10633
la bilis,žluč,10634
graznar,krákat,10635
graznar,kejhat,10636
el risco / la cornisa,skála,10637
el risco / la cornisa,skalisko / římsa,10638
el salto / el brinco,skok,10639
punzante,bodný,10640
punzante,bodavý,10641
tiritar,chvět se,10642
tiritar,třást se,10643
tiritar,klepat se,10644
lastimar,zranit,10645
lastimar,ublížit,10646
lastimar,dotknout se koho,10647
despejado / El cielo está despejado.,volný,10648
despejado / El cielo está despejado.,vyklizený / Je jasno.,10649
despejar,uvolnit,10650
despejar,vyklidit,10651
despejar,vyprázdnit,10652
el ovillo,klubíčko,10653
el ovillo,klubko,10654
la bufanda,šála,10655
ciego / ceguera / cegar,slepý / slepota / oslepit,10656
ciego / ceguera / cegar,zaslepit,10657
ciego / ceguera / cegar,oslepnout,10658
trompiciar,vrávorat,10659
trompiciar,motat se,10660
trompiciar,potácet se,10661
tambaleo / tambalear,kymácení,10662
tambaleo / tambalear,potácení,10663
tambaleo / tambalear,vrávorání / potácet se,10664
tambaleo / tambalear,vrávorat,10665
calzar,obouvat,10666
calzar,obout se,10667
la muleta,berle,10668
rugoso,drsný,10669
rugoso,hrubý,10670
el orificio,otvor,10671
el orificio,nosní dírka,10672
el orificio,řitní otvor,10673
la necedad,pošetilost,10674
la necedad,hloupost,10675
el hollín,saze,10676
el hollín,mour,10677
nudillos,klouby prstů,10678
chorrear,crčet,10679
chorrear,kapat,10680
chirriar,skřípat,10681
chirriar,vrzat,10682
el arañazo / arañar,škrábanec,10683
el arañazo / arañar,drápanec / poškrábat,10684
entrecortado,přerušovaný,10685
entrecortado,přerývaný,10686
flaquear,slábnout,10687
flaquear,polevit,10688
el atontamiento,omámení,10689
el atontamiento,ohlupování,10690
el atontamiento,zhloupnutí,10691
el desmayo / desmayar,mdloba,10692
el desmayo / desmayar,bezvědomí / omdlít,10693
la noción,znalost,10694
la noción,pojem,10695
el noble, el aristócrata,šlechtic,10696
el seudónimo,pseudonym,10697
el rol,role,10698
el rol,funkce,10699
el rol,úloha,10700
el arribo / arribar,příjezd,10701
el arribo / arribar,příchod / přijet,10702
el arribo / arribar,přistát,10703
el mortero,hmoždíř,10704
la mecedora,houpací křeslo,10705
sanador,léčitel,10706
incorporarse,začlenit se,10707
incorporarse,narovnat se,10708
incorporarse,vzpřímit se,10709
el cazo,rendlík,10710
el cazo,sběračka,10711
la cazuela (olla = hrnec),kastrol,10712
la cazuela (olla = hrnec),rendlík,10713
la cazuela (olla = hrnec),jídlo z jednoho hrnce,10714
la pernera,nohavice,10715
prodigar,hýřit,10716
prodigar,nešetřit,10717
prodigar,mrhat,10718
prodigar,věnovat,10719
la barandilla,zábradlí,10720
la gárgola,chrlič,10721
el moño,drdol,10722
subir de escalones de dos en dos,vystoupat po schodech po dvou,10723
recostar,opřít,10724
recostar,opřít se,10725
el paño,sukno,10726
el paño,kus látky,10727
el paño,hadr,10728
el ungüento,mast (léčivá),10729
caer en la cuenta (cayó en la cuenta),dojít něco někomu (došlo mu to…),10730
el detalle / el pormenor,detail,10731
el detalle / el pormenor,podrobnost,10732
de mala gana,neochotně,10733
tibio,vlahý,10734
tibio,vlažný,10735
la monición,rada,10736
la monición,poučení,10737
la monición,doporučení,10738
la premonición / el presentimiento,předtucha,10739
el consuelo / consolador,útěcha,10740
el consuelo / consolador,úleva / utěšující,10741
el consuelo / consolador,potěšující,10742
el espasmo, el calambre, la convulsión,křeč,10743
convulsivo,křečovitý,10744
convulsivo,dávivý,10745
tumbar,položit,10746
tumbar,natáhnout se,10747
empapar,promočit,10748
el cuerdo,zdravý rozum,10749
el cuerdo,duševní rovnováha,10750
el cuerdo,soudnost,10751
robar / hurtar,uloupit,10752
robar / hurtar,oloupit,10753
robar / hurtar,ukrást / odcizit,10754
a hurtadillas,pokradmu,10755
a hurtadillas,tajně,10756
la barraca,venkovský domek,10757
la barraca,bouda,10758
la barraca,chatrč,10759
pillar,překvapit,10760
pillar,nachytat,10761
pillar,dopadnout,10762
el amago / amagar y no dar,hrozba,10763
el amago / amagar y no dar,náznak / plané vyhrožování,10764
el amago / amagar y no dar,skutek utek,10765
corroer,rozežrat,10766
corroer,stravovat,10767
dubitativo,plný pochyb,10768
ocuparse de alg,zabývat se,10769
ocuparse de alg,zaobírat se čím,10770
ocuparse de alg,věnovat se čemu,10771
la farsa,fraška,10772
exultante,radující se,10773
exultante,bez sebe štěstím,10774
despistar,svést ze stopy,10775
despistar,setřást,10776
despistar,zmást,10777
bruñir,leštit,10778
bruñir,naleštit,10779
bruñir,vycídit,10780
bruñir,vypilovat,10781
la hebilla,přezka,10782
la hebilla,spona,10783
iridiscente,duhový,10784
iridiscente,měňavý,10785
iridiscente,hrající barvami,10786
contener / contener la respiración (el aliento),obsahovat,10787
contener / contener la respiración (el aliento),zadržovat,10788
contener / contener la respiración (el aliento),potlačit / zadržet dech,10789
la contención / incontenible,zamezení,10790
la contención / incontenible,potlačení / nezadržitelný,10791
la contención / incontenible,nezvladatelný,10792
aturdido,omráčený,10793
aturdido,ochromený,10794
aturdido,ztřeštěný,10795
unilateral,jednostranný,10796
el crisol,tavící kotel,10797
trastorno mental / trastorno digestivo,duševní porucha / porucha trávení,10798
trastornar,zpřevracet,10799
trastornar,nabourat,10800
trastornar,poblouznit,10801
la plantilla,šablona,10802
la plantilla,vložka do boty,10803
la calvicie, alopecia,plešatost,10804
la calvicie, alopecia,vypadávání vlasů,10805
colono, colona,osadník,10806
colono, colona,osadnice,10807
desenterrar,vyhrabat,10808
desenterrar,vykopat,10809
enturbiar / turbio,zamlžit,10810
enturbiar / turbio,zakalit / kalný,10811
enturbiar / turbio,zakalený,10812
enturbiar / turbio,nekalý,10813
la succión,sání,10814
la succión,vdechování,10815
chupar,sát,10816
chupar,vysát,10817
chupar,cucat,10818
extrañar / no es de extrañar que...,udivit,10819
extrañar / no es de extrañar que...,ohromit / není divu,10820
extrañar / no es de extrañar que...,že...,10821
extrañarse,divit se,10822
el sobaco / la axila,podpaží,10823
el estribo,třmen,10824
ensillar,osedlat,10825
la delantera (tracción delantera),přední (přední náhon ),10826
la delantera (tracción delantera),náskok,10827
la delantera (tracción delantera),vedení,10828
refunfuñar / rezongar,reptat,10829
refunfuñar / rezongar,remcat,10830
refunfuñar / rezongar,brblat,10831
reclutar,naverbovat,10832
reclutar,odvést,10833
el zarzal / el zorzal,ostružiní / drozd,10834
la zarza,ostružiník,10835
montar,postavit,10836
montar,smontovat,10837
montar,jezdit,10838
blandir,šermovat,10839
la punzada / la estocada,bodnutí,10840
la punzada / la estocada,píchavá bolest / bodnutí,10841
chasquear (chasquido),praskat,10842
chasquear (chasquido),křupat,10843
chasquear (chasquido),práskat,10844
la sien,spánek,10845
la sien,skráň,10846
salpicar / salpicadura,stříkat,10847
salpicar / salpicadura,postříkat,10848
salpicar / salpicadura,pokropit / stříkanec,10849
salpicar / salpicadura,skvrna,10850
el garrotazo,rána klackem,10851
benévolo, benevolente,benevolentní,10852
benévolo, benevolente,schovívavý,10853
indomable,nezkrotný,10854
indomable,nekontrolovatelný,10855
el revoltijo,změt,10856
el revoltijo,zmatek,10857
el revoltijo,chaos,10858
lápida, losa, piedra sepulcral,náhrobní kámen,10859
exorbitante,přehnaný,10860
exorbitante,přemrštěný,10861
exorbitante,nadměrný,10862
burlón,posměšný,10863
burlón,posměváček,10864
mugriento,zamaštěný,10865
mugriento,umaštěný,10866
mugriento,mastný,10867
espetar,napíchnout,10868
espetar,vybalit,10869
espetar,vybafnout,10870
regatear,smlouvat,10871
regatear,kličkovat,10872
vil (vilmente),bídný,10873
vil (vilmente),hanebný,10874
vil (vilmente),ničema,10875
empujón,strčení,10876
empujón,náraz,10877
empujón,drcnutí,10878
arreos,postroj na koně,10879
arreos,příslušenství,10880
arnese,popruhy,10881
arnese,kšíry,10882
el semental,plemeník,10883
recio,těžce pracovat,10884
recio,robustní,10885
recio,masivní,10886
caballeriza,stáj,10887
caballeriza,konírna,10888
zaino claro (ruano = do žluta),černý skot,10889
zaino claro (ruano = do žluta),tmavěhnědý kůň,10890
reconfortar / reconfortante,povzbudit,10891
reconfortar / reconfortante,dodat odvahu,10892
reconfortar / reconfortante,energii / povzbudivý,10893
brumoso,mlhavý,10894
brumoso,zamlžený,10895
brumoso,ponurý,10896
tenebroso,tmavý,10897
tenebroso,temný,10898
tenebroso,zlý,10899
la alforja,kabela,10900
la alforja,brašna na kolo,10901
la alforja,koně,10902
la mata,keř,10903
la mata,křovina,10904
la mata,větvička,10905
rosas trepadoras,popínavé růže,10906
el precipicio,propast,10907
el precipicio,hlubina,10908
el precipicio,pád,10909
el precipicio,záhuba,10910
la hendidura,trhlina,10911
la hendidura,drážka,10912
repiquetear,zvonit,10913
repiquetear,cinkat,10914
la grava,štěrk,10915
agostar,vysušit,10916
agostar,sežehnout,10917
agostar,vysílit,10918
mancillar,pošpinit,10919
mancillar,zostudit,10920
sobrecogido,polekaně,10921
sobrecogido,vystrašeně,10922
tangible,hmatatelný,10923
tangible,evidentní,10924
empañado,zašlý,10925
empañado,bez lesku,10926
empañado,zašpiněný,10927
empañado,zamlžený,10928
el trecho (durante un trecho = v mezičase),vzdálenost,10929
el trecho (durante un trecho = v mezičase),cesta,10930
el trecho (durante un trecho = v mezičase),trasa,10931
el trecho (durante un trecho = v mezičase),mezičas,10932
deambular,bloumat,10933
deambular,potulovat se,10934
deambular,procházet se,10935
la mordacidad,jízlivost,10936
la mordacidad,kousavost,10937
avizorar,pozorovat,10938
avizorar,sledovat,10939
el odre,měch,10940
la persecución,pronásledování,10941
la persecución,stíhání,10942
la persecución,hon,10943
amainar,zmírnit se,10944
amainar,utišit se,10945
amainar,zeslábnout,10946
raso,plochý,10947
raso,rovinatý,10948
raso,prostý,10949
chaparro,zavalitý,10950
chaparro,podsaditý,10951
chaparro,tlouštík,10952
chaparro,baculka,10953
acre,ostrý,10954
acre,pálivý,10955
acre,pikantní,10956
acre,sžíravý,10957
la yesca,troud,10958
la yesca,jiskra,10959
brasas,řeřavé uhlíky,10960
el cobijo,úkryt,10961
el cobijo,útulek,10962
el cobijo,přístřeší,10963
la fisura, la grieta / fisura labial,prasklina,10964
la fisura, la grieta / fisura labial,trhlina,10965
la fisura, la grieta / fisura labial,puklina / rozštěp rtu,10966
agrietar,popraskat,10967
profuso, profusamente,hojný,10968
profuso, profusamente,bohatý,10969
profuso, profusamente,bujný,10970
profuso, profusamente,bohatě…,10971
